PRFID,PRFNM,PRFPDFROM,PRFPDTO,D_DAY,PRFCAST,PRFCREW,PRFRUNTIME,PRFAGE,ENTRPSNM,PCSEGUIDANCE,POSTER,RELATES,PLACEID,PLACENM_x,INFO_URLS,7DAYS RANK,PLACENM_y,SI DO,GU GUN,ADRES,TELNO,RELATE URL,RESTAURANT,CAFE,STORE,NOLIBANG,PARK BARRIER,REST BARRIER,ELEV BARRIER,PARKINGLOT
PF246399,알사탕 [군위],2024.08.13,2024.08.13,0, ,"홍승희 김영인, 전수양 등",1시간,24개월 이상,할리퀸크리에이션즈(주),"1층석 10,000원, 2층석 5,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF246399_240806_093933.png,"[('티켓링크', 'http://www.ticketlink.co.kr/product/51259')]",FC000865,군위 삼국유사교육문화회관 (공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246399_240806_0939330.png'],,,,,경상북도 군위군 군위읍 군청로 158,054-380-7212,http://www.gunwiart.go.kr/,,,,,,,,
PF246147,피터팬 [광주],2024.08.01,2024.08.31,18, , ,55분,24개월 이상, ,"전석 25,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF246147_240801_103141.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1105823')]",FC003589,롯데마트 [월드컵] (행복을 주는 가족극장),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246147_240801_1031412.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246147_240801_1031411.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246147_240801_1031410.jpg']",,,,,광주광역시 서구 금화로 240 (풍암동), , ,,,,,,,,
PF246133,아기 오리의 모험 [청주],2024.07.01,2024.08.31,18,"오혜미, 정효진, 박용희, 감창선","박소연, 김란, 오동환 등",40분,24개월 이상,펀펀한 뮤지컬컴퍼니,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF246133_240801_100237.gif,"[('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24009192')]",FC003652,오즈아트홀 (오즈아트홀),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246133_240801_1002371.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF246133_240801_1002370.jpg']",,,,,충청북도 청주시 상당구 교서로 8-4 (영동), , ,,,,,,,,
PF245990,"마침내, 독립 [인천]",2024.08.13,2024.08.13,0,"강영하, 길하윤, 김정익, 김진영, 김혜원, 박가영, 송동욱 등","마영남, 박경희, 이경주 등",1시간 30분,만 8세 이상,극단 예술인,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245990_240730_091445.jpg,"[('엔티켓', 'https://www.enticket.com:469/pfm/sub01_view.html?p_idx=3498'), ('인터파크', 'https://tickets.interpark.com/goods/24011016')]",FC002833,청라복합문화센터 블루노바홀 (공연장),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245990_240730_0914450.jpg'],,,,,인천광역시 서구 청라대로 20 (청라동),032-580-1196,https://iscf.kr/_new/html/centerIntro/cheongna.php,,,,,,,,
PF245889,인어공주 [창원],2024.08.03,2024.08.31,18, , ,45분,전체 관람가, ,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245889_240729_101521.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1196262')]",FC002179,창원과학체험관 (다목적강당),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245889_240729_1015211.png', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245889_240729_1015210.png']",,,,,경상남도 창원시 성산구 충혼로72번길 16 (중앙동) ,055-267-2676,http://www.cwsc.go.kr/tnboard/,,,,,,,,
PF245875,미운아기오리 [여수],2024.08.03,2024.09.08,26, ,임우현,45분,24개월 이상,(주)상상플레이스 [여순광점],"전석 12,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245875_240726_174226.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1182749')]",FC003658,상상플레이스 여순광점(여수 웅천 트리마제벨마레 2305호) (상상플레이스 여순광점),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245875_240726_0542260.png'],,,,,전라남도 여수시 웅천로 83 (웅천동), , ,,,,,,,,
PF245797,알라딘 [서울 미아],2024.08.13,2024.08.18,5, , ,1시간,24개월 이상, ,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245797_240726_095621.jpg,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/1205806'), ('예스24', 'http://ticket.yes24.com/Perf/50477')]",FC001658,현대백화점 문화홀 [미아] (현대백화점 문화홀 [미아]),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245797_240726_0956210.jpg'],,,,,서울특별시 성북구 동소문로 315 (길음동),02-2117-2117,http://www.ehyundai.com/newCulture/CW/CW000001_V.do,,,,,,,,
PF245791,어린왕자 [부산],2024.08.02,2024.09.01,19, , ,50분,36개월 이상,극단 바라,"전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245791_240726_094117.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/885672'), ('예스24', 'http://ticket.yes24.com/Perf/50481'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010674'), ('쿠팡', 'https://trip.coupang.com/tp/products/30000010035050'), ('타임티켓', 'https://www.timeticket.co.kr/?number=5773')]",FC000255,초콜릿팩토리 (초콜릿팩토리),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245791_240726_0941170.jpg'],,,,,부산광역시 남구 수영로 298 (대연동),010-9071-1028,http://blog.naver.com/chocolate-factory,,,,,,,,
PF245687,늑대와 빨간모자 [부천],2024.08.01,2024.09.01,19,"현혜림, 최설아, 김민석",강민영,50분,전체 관람가,극단 천사의노래,"전석 18,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245687_240724_131540.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/794283')]",FC002478,뉴코아소극장 [부천] (뉴코아소극장 [부천]),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245687_240724_0115400.png'],,,,,경기도 부천시 송내대로 239 (상동),032-624-8120,https://nc123.modoo.at/,,,,,,,,
PF245269,셰프 [서울],2024.07.30,2024.08.31,18, , ,1시간 15분,36개월 이상, ,"VIP석 70,000원, R석 60,000원, S석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245269_240718_104911.gif,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/114948'), ('예스24', 'http://ticket.yes24.com/Perf/50492'), ('인터파크', 'http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=24010103')]",FC002631,허리우드극장 (구. 모두의극장) (셰프전용관),"['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245269_240718_1049110.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245269_240718_1049562.jpg']",,,,,서울특별시 종로구 삼일대로 428 (낙원동),02-742-4231, ,,,,,,,,
PF245087,신데렐라 [울산],2024.07.25,2024.08.24,11, , ,55분,전체 관람가, ,"전석 21,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF245087_240716_150417.png,"[('네이버N예약', 'https://booking.naver.com/booking/12/bizes/266447')]",FC001666,레미어린이극장 [울산진장] (레미어린이극장 [울산진장]),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF245087_240716_0304170.png'],,,,,울산광역시 북구 진장유통로 64 (진장동),052-288-8799,http://www.reomusical.com/new/main/main.htm,,,,,,,,
